Τ_1,T_2,ΔΤ,CPc,CPh,CP,ΔΗ
283.9,262.8,21.1,0,3.584,-3.584,-75.6224
262.8,248,14.8,0,6.358,-6.358,-94.0984
248,238,10,4.698,6.358,-1.66,-16.6
238,237,1,4.698,16.531,-11.833,-11.833
237,227,10,47.732,16.531,31.201,312.01
227,196.5,30.5,47.732,89.673,-41.941,-1279.2005
196.5,155,41.5,47.732,97.810,-50.078,-2078.237
155,145,10,47.732,87.637,-39.905,-399.05
145,139.4,5.6,105.479,87.637,17.842,99.9152
139.4,135,4.4,105.479,88.377,17.102,75.2488
135,85.65,49.35,105.479,76.571,28.908,1426.6098
85.65,75.65,10.,111.537,76.571,34.966,349.66
75.65,74.9,0.75,111.537,73.801,37.736,28.302
74.9,64.9,10.,115.730,73.801,41.929,419.29
64.9,56.97,7.93,115.730,68.916,46.814,371.23502
56.97,54.75,2.22,115.730,72.730,43.,95.46
54.75,45,9.75,169.627,72.730,96.897,944.74575
45,35,10,169.627,122.385,47.242,472.42
35,25,10,111.880,122.385,-10.505,-105.05
