Τ_1,T_2,ΔΤ,CPc,CPh,CP,ΔΗ
283.9,262.8,21.1,0,3.584,-3.584,-75.6224
262.8,248,14.8,0,6.358,-6.358,-94.0984
248,238,10,4.698,6.358,-1.66,-16.6
238,237,1,4.698,16.531,-11.833,-11.833
237,227,10,47.732,16.531,31.201,312.01
227,196.5,30.5,47.732,24.186,23.546,718.153
196.5,155,41.5,47.732,32.323,15.409,639.4735
155,145,10,47.732,22.150,25.582,255.82
145,139.4,5.6,105.479,22.150,83.329,466.6424
139.4,135,4.4,105.479,22.890,82.589,363.3916
135,85.65,49.35,105.479,22.890,82.589,4075.7672
85.65,75.65,10.,111.537,22.890,88.647,886.47
75.65,74.9,0.75,111.537,20.120,91.417,68.56275
74.9,64.9,10.,115.730,20.120,95.61,956.1
64.9,56.97,7.93,115.730,15.235,100.495,796.92535
56.97,54.75,2.22,115.730,19.049,96.681,214.63182
54.75,45,9.75,169.627,19.049,150.578,1468.1355
45,35,10,169.627,68.704,100.923,1009.23
35,25,10,111.880,68.704,43.176,431.76
25,15,10,0,15.235,-15.235,-152.35
